1787772747 4.35 5.86 4.93 13/4272 24794 | === RUN 2 ===
1787772752 4.24 5.81 4.92 3/4287 24810 | === RUN 2 ===
1787772757 5.59 6.06 5.00 2/4304 24824 | === RUN 2 ===
1787772762 5.22 5.98 4.98 21/4312 24840 | === RUN 2 ===
1787772767 6.32 6.19 5.06 29/4380 24856 | === RUN 2 ===
1787772772 7.02 6.34 5.11 2/4297 24872 | === RUN 2 ===
1787772777 6.70 6.28 5.10 26/4400 24888 | === RUN 2 ===
1787772782 7.92 6.54 5.19 16/4388 24904 | === RUN 2 ===
1787772787 8.81 6.75 5.27 29/4414 24920 | === RUN 2 ===
1787772792 9.22 6.87 5.31 18/4315 24936 | === RUN 2 ===
1787772797 9.53 6.97 5.35 10/4303 24952 | === RUN 2 ===
1787772802 9.32 6.97 5.36 12/4286 24968 | === RUN 2 ===
1787772807 8.90 6.93 5.36 4/4299 24984 | === RUN 2 ===
1787772812 8.43 6.86 5.34 3/4347 25000 | === RUN 2 ===
1787772817 7.99 6.80 5.33 4/4419 25016 | === RUN 2 ===
1787772822 7.43 6.70 5.31 3/4351 25032 | === RUN 2 ===
1787772827 7.16 6.65 5.30 3/4362 25048 | === RUN 2 ===
1787772832 6.74 6.58 5.28 2/4344 25064 | === RUN 2 ===
1787772837 6.76 6.58 5.29 3/4352 25080 | === RUN 2 ===
1787772842 6.30 6.49 5.27 3/4365 25096 | === RUN 2 ===
1787772847 6.20 6.47 5.27 4/4411 25112 | === RUN 2 ===
1787772852 6.10 6.44 5.26 3/4393 25128 | === RUN 2 ===
1787772857 5.93 6.40 5.26 15/4485 25144 | === RUN 2 ===
1787772862 7.94 6.81 5.40 16/4462 25160 | === RUN 2 ===
1787772867 8.83 7.01 5.47 3/4409 25176 | === RUN 2 ===
1787772872 8.36 6.94 5.46 17/4389 25192 | === RUN 2 ===
1787772877 7.93 6.88 5.44 7/4454 25208 | === RUN 2 ===
1787772882 8.90 7.10 5.52 3/4445 25224 | === RUN 2 ===
1787772887 8.42 7.03 5.51 6/4508 25240 | === RUN 2 ===
1787772892 9.19 7.21 5.57 3/4433 25256 | === RUN 2 ===
1787772897 8.78 7.16 5.57 5/4461 25272 | === RUN 2 ===
1787772902 8.23 7.07 5.55 21/4585 25288 | === RUN 2 ===
1787772907 7.81 7.00 5.53 4/4491 25304 | === RUN 2 ===
1787772912 7.43 6.94 5.52 3/4510 25320 | === RUN 2 ===
1787772917 7.15 6.89 5.51 3/4509 25336 | === RUN 2 ===
1787772922 7.22 6.91 5.52 5/4512 25352 | === RUN 2 ===
1787772927 7.28 6.93 5.54 32/4561 25368 | === RUN 2 ===
1787772932 7.74 7.03 5.58 3/4470 25384 | === RUN 2 ===
1787772937 9.52 7.41 5.71 4/4533 25400 | === RUN 2 ===
1787772942 9.08 7.35 5.70 6/4545 25417 | === RUN 2 ===
1787772947 8.75 7.31 5.70 23/4580 25433 | === RUN 2 ===
1787772952 10.54 7.71 5.83 16/4595 25449 | === RUN 2 ===
1787772957 11.61 7.98 5.93 24/4549 25465 | === RUN 2 ===
1787772962 12.93 8.31 6.05 36/4560 25481 | === RUN 2 ===
1787772967 13.97 8.60 6.16 23/4551 25497 | === RUN 2 ===
1787772972 13.74 8.64 6.18 7/4524 25513 | === RUN 2 ===
1787772977 12.88 8.55 6.16 2/4541 25529 | === RUN 2 ===
1787772982 11.92 8.42 6.14 4/4533 25545 | === RUN 2 ===
1787772987 11.13 8.32 6.11 3/4544 25561 | === RUN 2 ===
1787772992 10.40 8.21 6.09 3/4588 25577 | === RUN 2 ===
1787772997 9.65 8.09 6.06 3/4616 25593 | === RUN 2 ===
1787773002 8.95 7.97 6.04 2/4608 25609 | === RUN 2 ===
1787773007 8.32 7.86 6.01 4/4623 25625 | === RUN 2 ===
1787773012 7.89 7.78 5.99 2/4590 25641 | === RUN 2 ===
1787773017 7.42 7.68 5.97 2/4618 25657 | === RUN 2 ===
1787773022 6.90 7.57 5.94 1/4645 25673 | === RUN 2 ===
1787773027 6.67 7.51 5.93 3/4718 25689 | === RUN 2 ===
1787773032 6.46 7.45 5.92 4/4717 25705 | === RUN 2 ===
1787773037 6.10 7.36 5.90 2/4846 25721 | === RUN 2 ===
1787773042 5.61 7.24 5.87 1/4873 25737 | === RUN 2 ===
1787773047 5.24 7.13 5.84 3/4937 25753 | === RUN 2 ===
1787773052 5.06 7.06 5.83 2/4221 25824 | === RUN 3 ===
1787773057 4.90 7.00 5.81 3/4157 25840 | === RUN 3 ===
1787773062 4.82 6.95 5.80 2/4215 25856 | === RUN 3 ===
1787773067 4.68 6.88 5.79 2/4197 25872 | === RUN 3 ===
1787773072 4.62 6.83 5.78 3/4207 25888 | === RUN 3 ===
1787773077 4.49 6.77 5.76 4/4234 25904 | === RUN 3 ===
1787773082 4.37 6.71 5.75 2/4238 25920 | === RUN 3 ===
1787773087 4.10 6.61 5.72 4/4251 25936 | === RUN 3 ===
1787773092 3.85 6.52 5.70 2/4260 25952 | === RUN 3 ===
1787773097 3.70 6.44 5.68 2/4225 25968 | === RUN 3 ===
1787773102 3.49 6.35 5.65 3/4260 25984 | === RUN 3 ===
1787773107 4.09 6.43 5.68 25/4240 26000 | === RUN 3 ===
1787773112 4.00 6.37 5.66 2/4287 26016 | === RUN 3 ===
1787773117 3.76 6.28 5.64 1/4271 26032 | === RUN 3 ===
1787773122 3.54 6.19 5.61 3/4310 26048 | === RUN 3 ===
1787773127 3.50 6.14 5.60 5/4293 26064 | === RUN 3 ===
1787773132 3.30 6.06 5.58 2/4296 26080 | === RUN 3 ===
1787773137 3.43 6.04 5.57 4/4312 26096 | === RUN 3 ===
1787773142 3.32 5.97 5.55 2/4345 26112 | === RUN 3 ===
1787773147 3.37 5.94 5.54 3/4309 26128 | === RUN 3 ===
1787773152 3.18 5.86 5.52 13/4340 26144 | === RUN 3 ===
1787773157 3.17 5.81 5.51 4/4296 26160 | === RUN 3 ===
1787773162 2.99 5.73 5.48 4/4317 26176 | === RUN 3 ===
1787773167 2.91 5.67 5.46 6/4453 26192 | === RUN 3 ===
1787773172 3.24 5.69 5.47 4/4392 26208 | === RUN 3 ===
1787773177 3.38 5.68 5.47 3/4384 26224 | === RUN 3 ===
1787773182 3.27 5.62 5.45 5/4411 26240 | === RUN 3 ===
1787773187 3.33 5.59 5.44 5/4404 26256 | === RUN 3 ===
1787773192 3.38 5.56 5.43 5/4423 26272 | === RUN 3 ===
1787773197 3.51 5.55 5.43 1/4419 26288 | === RUN 3 ===
1787773202 3.47 5.51 5.42 1/4442 26304 | === RUN 3 ===
1787773207 3.43 5.47 5.40 3/4410 26320 | === RUN 3 ===
1787773212 3.48 5.44 5.40 5/4433 26336 | === RUN 3 ===
1787773217 3.44 5.40 5.38 4/4379 26352 | === RUN 3 ===
1787773222 3.25 5.33 5.36 2/4382 26368 | === RUN 3 ===
1787773227 3.39 5.32 5.36 6/4391 26384 | === RUN 3 ===
1787773232 3.35 5.28 5.34 4/4377 26400 | === RUN 3 ===
1787773237 3.41 5.26 5.34 19/4459 26416 | === RUN 3 ===
1787773242 3.77 5.31 5.35 5/4425 26432 | === RUN 3 ===
1787773247 3.87 5.30 5.35 25/4508 26448 | === RUN 3 ===
1787773252 4.04 5.31 5.35 4/4439 26464 | === RUN 3 ===
1787773257 4.12 5.31 5.35 7/4498 26480 | === RUN 3 ===
1787773262 4.43 5.35 5.37 2/4475 26496 | === RUN 3 ===
1787773267 4.64 5.38 5.37 6/4467 26512 | === RUN 3 ===
1787773272 4.59 5.36 5.37 6/4468 26528 | === RUN 3 ===
1787773277 4.62 5.35 5.36 4/4516 26544 | === RUN 3 ===
1787773282 4.73 5.36 5.37 14/4464 26560 | === RUN 3 ===
1787773287 4.67 5.34 5.36 26/4513 26576 | === RUN 3 ===
1787773292 5.66 5.53 5.42 15/4541 26592 | === RUN 3 ===
1787773297 6.97 5.81 5.51 15/4490 26608 | === RUN 3 ===
1787773302 7.61 5.96 5.56 3/4478 26624 | === RUN 3 ===
1787773307 7.16 5.89 5.54 4/4490 26640 | === RUN 3 ===
1787773312 6.83 5.85 5.53 5/4520 26656 | === RUN 3 ===
1787773317 6.44 5.78 5.51 23/4601 26673 | === RUN 3 ===
1787773322 7.21 5.95 5.57 31/4602 26691 | === RUN 3 ===
1787773327 7.91 6.12 5.62 14/4603 26707 | === RUN 3 ===
1787773332 8.24 6.22 5.66 19/4627 26723 | === RUN 3 ===
1787773337 9.26 6.46 5.74 23/4587 26739 | === RUN 3 ===
1787773342 9.24 6.51 5.76 37/4617 26755 | === RUN 3 ===
1787773347 10.02 6.71 5.83 31/4630 26771 | === RUN 3 ===
1787773352 10.42 6.85 5.88 20/4586 26787 | === RUN 3 ===
1787773357 11.59 7.15 5.98 9/4547 26803 | === RUN 3 ===
1787773362 11.22 7.15 5.99 10/4591 26819 | === RUN 3 ===
1787773367 11.28 7.23 6.02 3/4561 26835 | === RUN 3 ===
1787773372 10.62 7.16 6.00 3/4596 26851 | === RUN 3 ===
1787773377 10.01 7.09 5.99 1/4597 26867 | === RUN 3 ===
1787773382 9.21 6.97 5.96 3/4565 26883 | === RUN 3 ===
1787773387 8.79 6.92 5.95 4/4580 26899 | === RUN 3 ===
1787773392 8.25 6.84 5.92 3/4605 26915 | === RUN 3 ===
1787773397 7.75 6.76 5.90 2/4612 26931 | === RUN 3 ===
1787773402 7.20 6.66 5.88 2/4852 26947 | === RUN 3 ===
1787773407 6.71 6.57 5.85 3/4816 26963 | === RUN 3 ===
1787773412 6.25 6.48 5.82 2/4864 26979 | === RUN 3 ===
1787773417 5.83 6.39 5.80 2/4910 26995 | === RUN 3 ===
1787773422 5.36 6.28 5.77 23/4135 27068 | === RUN 4 ===
1787773427 6.93 6.59 5.87 4/4204 27084 | === RUN 4 ===
1787773432 6.62 6.53 5.85 2/4189 27100 | === RUN 4 ===
1787773437 6.25 6.45 5.83 2/4219 27116 | === RUN 4 ===
