ok  	github.com/n-orlov/deck/cmd/deck	7.458s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.786s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.765s
ok  	github.com/n-orlov/deck/features	315.533s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.529s
ok  	github.com/n-orlov/deck/internal/interactive	11.328s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.433s
ok  	github.com/n-orlov/deck/internal/store	2.401s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.493s
ok  	github.com/n-orlov/deck/internal/tui	1.133s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
