ok  	github.com/n-orlov/deck/cmd/deck	5.173s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.796s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.767s
ok  	github.com/n-orlov/deck/features	289.879s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.017s
ok  	github.com/n-orlov/deck/internal/config	0.022s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.307s
ok  	github.com/n-orlov/deck/internal/interactive	10.626s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	2.796s
ok  	github.com/n-orlov/deck/internal/store	1.710s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.075s
ok  	github.com/n-orlov/deck/internal/tui	0.501s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
