"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestEntryRefusalWayOutSurvivesDefaultGeometry/100x30/NO_COLOR/shrank","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","50","TestAcquireLaunchLeaseDeadPIDIsBreakable","","Sat Sep 26 09:46:08 BST 2026","passed","Sat Sep 26 09:46:08 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","0","TestSelectionHighlightRangeReportsNoHighlightOutsideSelectedRows","","Sat Sep 26 09:45:42 BST 2026","passed","Sat Sep 26 09:45:42 BST 2026","","github.com/n-orlov/deck/internal/interactive","github.com/n-orlov/deck/internal/interactive",""
"","70","TestArchiveRunsSessionThenGlobalPostDestroyExactlyOnce","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestFoldUnfoldHeaderWithZeroTotalSessions/named/left-then-right","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","70","TestResumeModeDispatchesToPinAutoAndFreshOnce","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestClaude_LaunchAndResumeArgv/plan/resume","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/agent","github.com/n-orlov/deck/internal/agent",""
"","30","TestRestoreWindowGeometryDetachedResizesThenUnsets","","Sat Sep 26 09:46:16 BST 2026","passed","Sat Sep 26 09:46:16 BST 2026","","github.com/n-orlov/deck/internal/tmux","github.com/n-orlov/deck/internal/tmux",""
"","674","the settings takeover's discard-confirm footer paints deck background across its whole row","","","passed","","","The settings takeover's own footer carries deck's background token in every mode (requirement 118, task cure-03-01)","",""
"","737","u restores a deleted row inside its DECK_DELETE_GRACE_MS window","","","passed","","","Undo toast after x, and the dd delete/tombstone chord","",""
"","60","TestReceiveHookAppliesOverAnyStaleSourceExceptStopped/StopFailure/from_stopped/via_probe","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","0","TestDeckOwnedCellsCarryExplicitForegroundOnEveryBuiltin/empire/empty_store","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestCropPreviewBottomLeftCropsOversizedPane","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","685","every category and its schema-declared fields are reachable, including the honestly-unavailable [notify] entry","","","passed","","","The `,` settings takeover (requirement 48)","",""
"","1723","a built-in theme colours each of the seven §7 status tokens, read per cell from a real client #2","","","passed","","","theme rendering end-to-end (requirement 49)","",""
"","0","TestBuiltinContrastFloor/matrix","","Sat Sep 26 09:46:16 BST 2026","passed","Sat Sep 26 09:46:16 BST 2026","","github.com/n-orlov/deck/internal/theme","github.com/n-orlov/deck/internal/theme",""
"","1045","a full enter/exit cycle costs exactly two SIGWINCH with nobody attached","","","passed","","","Interactive mode's SIGWINCH budget (Part II, requirement 11)","",""
"","1281","sort_order = name orders case-insensitively ascending","","","passed","","","`[ui] sort_order` -- attention, created, activity and name orders (requirement R53)","",""
"","0","TestThemedDialogsDegradeCleanlyUnderNoColorAndASCII/create_modal/initial_state","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestSidebarCursorPayloadIsUnreachableWithoutResolvingKind","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBelowMinimumFrameStaysWithinBudget/79x40/attachError/short","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestArchiveUndoSaysTheNextRRebuildsWhatPostDestroyReleased/session-hook","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","1059","clicking a group header in list mode collapses only that group, and clicking it again reopens it","","","passed","","","SPEC §11's group navigation and order (Phase 4c Tier 1+2 -- GH #31, #32, #33, #34)","",""
"","90","TestResumeReleasesItsLaunchLeaseWhenTheLaunchCompletes","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestSettingsEscDiscardConfirmedLeavesFileUnchanged","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestFoldUnfoldHeaderWithZeroTotalSessions/persists_when_a_store_is_attached/right","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","60","TestSupersededLaunchGenerationDropsTheWholeHookClass/Notification/hook_carries_no_token","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/hookrecv","github.com/n-orlov/deck/internal/hookrecv",""
"","60","TestLastCreateGroupDanglingIDDegradesToDefaultNotEmptyValue","","Sat Sep 26 09:46:08 BST 2026","passed","Sat Sep 26 09:46:08 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","1724","a built-in theme colours each of the seven §7 status tokens, read per cell from a real client #4","","","passed","","","theme rendering end-to-end (requirement 49)","",""
"","50","TestArchiveSessionRejectsMissingSession","","Sat Sep 26 09:46:08 BST 2026","passed","Sat Sep 26 09:46:08 BST 2026","","github.com/n-orlov/deck/internal/store","github.com/n-orlov/deck/internal/store",""
"","0","TestConfigFileCaptureMinIntervalSecondsAndDuration","","Sat Sep 26 09:45:29 BST 2026","passed","Sat Sep 26 09:45:29 BST 2026","","github.com/n-orlov/deck/internal/config","github.com/n-orlov/deck/internal/config",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/stopped/x","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBelowMinimumFrameStaysWithinBudget/70x20/resumeNote/wraps-at-w","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestNormalizeFrame","","Sat Sep 26 09:45:08 BST 2026","passed","Sat Sep 26 09:45:08 BST 2026","","github.com/n-orlov/deck/features","github.com/n-orlov/deck/features",""
"","10","TestSettingsScopeParityMatchesSaveBehaviour/ui.preview_fit","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestBelowMinimumFrameStaysWithinBudget/100x30/resumeNote/short","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestFooterHandlerAgreementAcrossEveryRowClass/archived/Y","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestGroupHeaderRendersInGroupToken","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","70","TestCreateAgentDegradesUnsupportedProfileForPi","","Sat Sep 26 09:45:57 BST 2026","passed","Sat Sep 26 09:45:57 BST 2026","","github.com/n-orlov/deck/internal/service","github.com/n-orlov/deck/internal/service",""
"","0","TestPadTruncElidesWideSessionNameWithoutSplitting","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
"","0","TestThemePickerPreviewsLiveOnRealList","","Sat Sep 26 09:46:43 BST 2026","passed","Sat Sep 26 09:46:43 BST 2026","","github.com/n-orlov/deck/internal/tui","github.com/n-orlov/deck/internal/tui",""
