ok  	github.com/n-orlov/deck/cmd/deck	7.484s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.793s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.120s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.768s
ok  	github.com/n-orlov/deck/features	366.149s
ok  	github.com/n-orlov/deck/internal/agent	0.008s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.035s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.649s
ok  	github.com/n-orlov/deck/internal/interactive	15.303s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	7.065s
ok  	github.com/n-orlov/deck/internal/store	3.248s
ok  	github.com/n-orlov/deck/internal/theme	0.007s
ok  	github.com/n-orlov/deck/internal/tmux	25.726s
ok  	github.com/n-orlov/deck/internal/tui	6.941s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
