ok  	github.com/n-orlov/deck/cmd/deck	7.384s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.786s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.117s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.777s
ok  	github.com/n-orlov/deck/features	368.441s
ok  	github.com/n-orlov/deck/internal/agent	0.006s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.027s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.509s
ok  	github.com/n-orlov/deck/internal/interactive	15.332s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	6.879s
ok  	github.com/n-orlov/deck/internal/store	3.218s
ok  	github.com/n-orlov/deck/internal/theme	0.006s
ok  	github.com/n-orlov/deck/internal/tmux	25.469s
ok  	github.com/n-orlov/deck/internal/tui	6.079s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
