ok  	github.com/n-orlov/deck/cmd/deck	7.449s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.791s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.770s
ok  	github.com/n-orlov/deck/features	306.616s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.027s
ok  	github.com/n-orlov/deck/internal/hookrecv	3.995s
ok  	github.com/n-orlov/deck/internal/interactive	11.110s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.129s
ok  	github.com/n-orlov/deck/internal/store	2.308s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.321s
ok  	github.com/n-orlov/deck/internal/tui	1.132s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
