ok  	github.com/n-orlov/deck/cmd/deck	7.388s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.792s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.774s
ok  	github.com/n-orlov/deck/features	313.012s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.030s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.143s
ok  	github.com/n-orlov/deck/internal/interactive	11.290s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.133s
ok  	github.com/n-orlov/deck/internal/store	2.539s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.408s
ok  	github.com/n-orlov/deck/internal/tui	1.099s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
