ok  	github.com/n-orlov/deck/cmd/deck	7.242s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.784s
ok  	github.com/n-orlov/deck/cmd/fake-codex	0.118s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.769s
ok  	github.com/n-orlov/deck/features	350.662s
ok  	github.com/n-orlov/deck/internal/agent	0.008s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.025s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.528s
ok  	github.com/n-orlov/deck/internal/interactive	10.714s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	6.563s
ok  	github.com/n-orlov/deck/internal/store	2.539s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.466s
ok  	github.com/n-orlov/deck/internal/tui	4.295s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
